game,md,team,opponent,venue,gf,ga,gd,result,points,was_ahead,was_behind,points_from_losing,points_dropped_from_winning,win_from_behind,draw_from_behind,loss_from_ahead,draw_from_ahead
KITARA-VS-UPDF,12,UPDF,KITARA,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
KITARA-VS-UPDF,12,KITARA,UPDF,home,2,1,1,W,3,True,False,0,0,False,False,False,False
NEC-VS-LUGAZI,12,LUGAZI,NEC,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
NEC-VS-LUGAZI,12,NEC,LUGAZI,home,1,0,1,W,3,True,False,0,0,False,False,False,False
POLICE-VS-KCCA,12,KCCA,POLICE,away,0,2,-2,L,0,False,True,0,0,False,False,False,False
POLICE-VS-KCCA,12,POLICE,KCCA,home,2,0,2,W,3,True,False,0,0,False,False,False,False
URA-VS-ENTEBBE,12,ENTEBBE,URA,away,1,0,1,W,3,True,False,0,0,False,False,False,False
URA-VS-ENTEBBE,12,URA,ENTEBBE,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
VIPERS-VS-MBARARA,12,MBARARA,VIPERS,away,0,0,0,D,1,False,False,0,0,False,False,False,False
VIPERS-VS-MBARARA,12,VIPERS,MBARARA,home,0,0,0,D,1,False,False,0,0,False,False,False,False
BUL-VS-VILLA,13,VILLA,BUL,away,0,0,0,D,1,False,False,0,0,False,False,False,False
BUL-VS-VILLA,13,BUL,VILLA,home,0,0,0,D,1,False,False,0,0,False,False,False,False
EXPRESS-VS-BUHIMBA,13,BUHIMBA,EXPRESS,away,1,3,-2,L,0,False,True,0,0,False,False,False,False
EXPRESS-VS-BUHIMBA,13,EXPRESS,BUHIMBA,home,3,1,2,W,3,True,False,0,0,False,False,False,False
MAROONS-VS-KCCA,13,KCCA,MAROONS,away,0,0,0,D,1,False,False,0,0,False,False,False,False
MAROONS-VS-KCCA,13,MAROONS,KCCA,home,0,0,0,D,1,False,False,0,0,False,False,False,False
MBARARA-VS-LUGAZI,13,LUGAZI,MBARARA,away,0,0,0,D,1,False,False,0,0,False,False,False,False
MBARARA-VS-LUGAZI,13,MBARARA,LUGAZI,home,0,0,0,D,1,False,False,0,0,False,False,False,False
NEC-VS-KITARA,13,KITARA,NEC,away,3,3,0,D,1,False,True,1,0,False,True,False,False
NEC-VS-KITARA,13,NEC,KITARA,home,3,3,0,D,1,True,False,0,2,False,False,False,True
POLICE-VS-CALVARY,13,CALVARY,POLICE,away,0,2,-2,L,0,False,True,0,0,False,False,False,False
POLICE-VS-CALVARY,13,POLICE,CALVARY,home,2,0,2,W,3,True,False,0,0,False,False,False,False
UPDF-VS-ENTEBBE,13,ENTEBBE,UPDF,away,1,0,1,W,3,True,False,0,0,False,False,False,False
UPDF-VS-ENTEBBE,13,UPDF,ENTEBBE,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
URA-VS-VIPERS,13,VIPERS,URA,away,3,0,3,W,3,True,False,0,0,False,False,False,False
URA-VS-VIPERS,13,URA,VIPERS,home,0,3,-3,L,0,False,True,0,0,False,False,False,False
BUHIMBA-VS-NEC,14,NEC,BUHIMBA,away,1,0,1,W,3,True,False,0,0,False,False,False,False
BUHIMBA-VS-NEC,14,BUHIMBA,NEC,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
CALVARY-VS-URA,14,URA,CALVARY,away,0,0,0,D,1,False,False,0,0,False,False,False,False
CALVARY-VS-URA,14,CALVARY,URA,home,0,0,0,D,1,False,False,0,0,False,False,False,False
ENTEBBE-VS-MAROONS,14,MAROONS,ENTEBBE,away,0,0,0,D,1,False,False,0,0,False,False,False,False
